sector,district,inv
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",Vikarabad,0.1
"Agro based incl Cold Storages","Jayashankar Bhupalpally",0.1
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",Mahabubabad,0.1
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",Khammam,0.1
Others,"Kumurambheem Asifabad",0.1
"Plastic and Rubber",Adilabad,0.1
"Plastic and Rubber",Jagtial,0.1
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",Hanumakonda,0.1
"Plastic and Rubber",Nirmal,0.1
Textiles,Kamareddy,0.1
"Plastic and Rubber",Kamareddy,0.1
Beverages,Kamareddy,0.1
"Wood and Leather",Peddapalli,0.1
